country,region
Afghanistan,"Middle East, North Africa, Afghanistan and Pakistan"
Albania,Eastern Europe and Central Asia
Algeria,"Middle East, North Africa, Afghanistan and Pakistan"
Andorra,Western Europe
Angola,Sub-Saharan Africa
Antigua and Barbuda,Latin America and Caribbean
Argentina,Latin America and Caribbean
Armenia,Eastern Europe and Central Asia
Australia,East Asia and Pacific
Austria,Western Europe
Azerbaijan,Eastern Europe and Central Asia
Bahamas,Latin America and Caribbean
Bahrain,"Middle East, North Africa, Afghanistan and Pakistan"
Bangladesh,South Asia
Barbados,Latin America and Caribbean
Belarus,Eastern Europe and Central Asia
Belgium,Western Europe
Belize,Latin America and Caribbean
Benin,Sub-Saharan Africa
Bhutan,South Asia
Bolivia,Latin America and Caribbean
Bosnia and Herzegovina,Eastern Europe and Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America and Caribbean
Brunei,East Asia and Pacific
Bulgaria,Eastern Europe and Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,East Asia and Pacific
Cameroon,Sub-Saharan Africa
Canada,North America
Cape Verde,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America and Caribbean
China,East Asia and Pacific
Colombia,Latin America and Caribbean
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Costa Rica,Latin America and Caribbean
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Eastern Europe and Central Asia
Cuba,Latin America and Caribbean
Cyprus,Eastern Europe and Central Asia
Czechia,Eastern Europe and Central Asia
Democratic Republic of Congo,Sub-Saharan Africa
Denmark,Western Europe
Djibouti,"Middle East, North Africa, Afghanistan and Pakistan"
Dominica,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
East Timor,East Asia and Pacific
Ecuador,Latin America and Caribbean
Egypt,"Middle East, North Africa, Afghanistan and Pakistan"
El Salvador,Latin America and Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Eastern Europe and Central Asia
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Fiji,East Asia and Pacific
Finland,Western Europe
France,Western Europe
French Guiana,Western Europe
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,Eastern Europe and Central Asia
Germany,Western Europe
Ghana,Sub-Saharan Africa
Greece,Western Europe
Greenland,Western Europe
Grenada,Latin America and Caribbean
Guatemala,Latin America and Caribbean
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Honduras,Latin America and Caribbean
Hungary,Eastern Europe and Central Asia
Iceland,Western Europe
India,South Asia
Indonesia,East Asia and Pacific
Iran,"Middle East, North Africa, Afghanistan and Pakistan"
Iraq,"Middle East, North Africa, Afghanistan and Pakistan"
Ireland,Western Europe
Israel,"Middle East, North Africa, Afghanistan and Pakistan"
Italy,Western Europe
Jamaica,Latin America and Caribbean
Japan,East Asia and Pacific
Jordan,"Middle East, North Africa, Afghanistan and Pakistan"
Kazakhstan,Eastern Europe and Central Asia
Kenya,Sub-Saharan Africa
Kiribati,East Asia and Pacific
Kosovo,Eastern Europe and Central Asia
Kuwait,"Middle East, North Africa, Afghanistan and Pakistan"
Kyrgyzstan,Eastern Europe and Central Asia
Laos,East Asia and Pacific
Latvia,Eastern Europe and Central Asia
Lebanon,"Middle East, North Africa, Afghanistan and Pakistan"
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,"Middle East, North Africa, Afghanistan and Pakistan"
Liechtenstein,Western Europe
Lithuania,Eastern Europe and Central Asia
Luxembourg,Western Europe
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia and Pacific
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,"Middle East, North Africa, Afghanistan and Pakistan"
Marshall Islands,East Asia and Pacific
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America and Caribbean
Micronesia (country),East Asia and Pacific
Moldova,Eastern Europe and Central Asia
Monaco,Western Europe
Mongolia,East Asia and Pacific
Montenegro,Eastern Europe and Central Asia
Morocco,"Middle East, North Africa, Afghanistan and Pakistan"
Mozambique,Sub-Saharan Africa
Myanmar,East Asia and Pacific
Namibia,Sub-Saharan Africa
Nauru,East Asia and Pacific
Nepal,South Asia
Netherlands,Western Europe
New Caledonia,East Asia and Pacific
New Zealand,East Asia and Pacific
Nicaragua,Latin America and Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
North Korea,East Asia and Pacific
North Macedonia,Eastern Europe and Central Asia
Norway,Western Europe
Oman,"Middle East, North Africa, Afghanistan and Pakistan"
Pakistan,"Middle East, North Africa, Afghanistan and Pakistan"
Palau,East Asia and Pacific
Palestine,"Middle East, North Africa, Afghanistan and Pakistan"
Panama,Latin America and Caribbean
Papua New Guinea,East Asia and Pacific
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Philippines,East Asia and Pacific
Poland,Eastern Europe and Central Asia
Portugal,Western Europe
Puerto Rico,Latin America and Caribbean
Qatar,"Middle East, North Africa, Afghanistan and Pakistan"
Romania,Eastern Europe and Central Asia
Russia,Eastern Europe and Central Asia
Rwanda,Sub-Saharan Africa
Saint Kitts and Nevis,Latin America and Caribbean
Saint Lucia,Latin America and Caribbean
